PnL,EV,ExpROI,RoI,cum_PnL,cum_EV,rolling_PnL,rolling_EV
-164260.55399679998,492.29026335521024,526.4283136,-325.53562998807905,-5749791.739484219,736489.1013564033,-46547.87849461783,4250.227385449935
-72830.29207568329,-2050.4662692856878,326.2714978,-201.82470672568883,-5822622.031559902,734438.6350871177,-46728.879610100164,2454.125867396012
-2430.3425,1299.6677559256009,123.2149924,21.103,-5825052.3740599025,735738.3028430432,-46571.65549227811,2592.8443895319756
-29818.683,3046.7161695113846,268.7943991,-107.52436,-5854871.057059903,738785.0190125547,-47744.31179585525,2530.831460177976
2791.400541084555,5024.492856730526,224.0253305,-99.09650421424071,-5852079.656518818,743809.5118692851,-46790.63432864556,2492.400280937661
-102204.08258971859,-4873.726925290984,412.0223824,-173.0164489067039,-5954283.739108536,738935.7849439941,-50424.865714148116,2220.554911365812
81471.35012725,436.3241525864421,349.3376096,119.28153000350001,-5872812.388981286,739372.1090965805,-40933.44881317944,2399.6178987547682
-152590.72575,1890.5296727951145,544.3521286,-330.97885322413794,-6025403.114731287,741262.6387693756,-49061.150619724234,2094.2518839350014
-165945.0473965105,6886.849812985996,442.8886013,-420.955901295119,-6191348.1621277975,748149.4885823616,-53986.78691609093,2143.9143786923323
10639.994200000001,2777.5720338439874,125.5577178,62.17815,-6180708.167927798,750927.0606162056,-53250.75902680522,2204.9601981554574
-12512.162799775988,5573.1919738406295,210.5890152,-98.48781241885494,-6193220.3307275735,756500.2525900461,-51451.34199103672,2196.1228650621333
15145.453000176953,7751.923020611507,284.4219303,72.99230000149012,-6178074.877727397,764252.1756106577,-47519.81382313028,2539.062662239349
-67273.722877504,5521.584697437824,207.4365355,-190.81386780666668,-6245348.600604901,769773.7603080955,-45947.189680530275,2723.9342612309847
-7198.142199999999,1045.9942289010028,325.1868375,-28.983116,-6252546.742804901,770819.7545369965,-47643.96837982006,2487.3531031391826
41260.369,9471.441857891266,253.3522938,43.5775,-6211286.373804901,780291.1963948878,-32963.9024514772,3128.721074177472
-87995.7580679952,-5751.258419669135,487.5853754,-303.1467699879952,-6299282.131872896,774539.9379752186,-34047.15002235663,2864.3787777215116
-69271.988075,-1726.218345803965,216.3095633,-142.646425,-6368554.119947896,772813.7196294147,-38821.55327771377,2648.2440561693998
-89428.84275,3824.4266099213473,371.4811584,-294.1175,-6457982.962697896,776638.1462393361,-43079.421831285195,2703.7948019129685
-19025.149,-669.8958959189713,211.4272186,-62.2839,-6477008.111697896,775968.2503434172,-44637.74679850553,2297.05274815229
6407.463128000001,6052.43576347188,368.2571347,38.34404,-6470600.648569897,782020.686106889,-36879.77924723991,3077.49294020678
-132947.654944,212.33597225520745,245.5259246,-262.5871,-6603548.303513897,782233.0220791443,-52195.42246661492,3061.493784468835
-43137.70416638429,10488.361412403914,289.4433429,-197.20434499701977,-6646686.007680281,792721.3834915481,-44377.34949635664,3675.6246230123206
-190988.350568,16844.414097362212,528.8280944,-601.81869228,-6837674.358248281,809565.7975889103,-46166.15686574875,4386.879214753479
-26625.024991135,5941.198619398027,126.6960094,-69.1349999835,-6864299.383239416,815506.9962083084,-48827.94395082982,4612.852542293053
-75534.686199644,-184.1687013589684,250.0304295,-113.235344496595,-6939834.06943906,815322.8275069494,-53329.552765106106,4201.61249406451
-78670.320301,4587.867466542699,238.7155105,-190.47098167000001,-7018504.38974006,819910.6949734922,-60030.679429475895,3975.6085259167385
50713.988743832095,1611.0396764763318,376.3004237,27.439296377136362,-6967790.400996228,821521.7346499686,-51602.9857422376,3696.2838815623463
-105580.80432406026,6669.951083810402,306.1214648,-399.8497958526725,-7073371.205320288,828191.685733779,-58630.31875109905,4097.9950854844465
-53644.92282428572,7159.134880017285,480.7413328,-152.78627052857144,-7127016.128144574,835350.8206137962,-65409.26816711946,3932.8303013505906
-105414.01058003954,-2005.5124158056708,372.4994935,-108.24702789774791,-7232430.138724614,833345.3081979905,-66653.4290608369,4200.383587340838
-91059.8875,4990.423228881237,477.2332414,-324.175,-7323490.026224614,838335.7314268717,-68209.70759119405,4680.143699818352
-43300.46133333333,-779.5979417012346,285.5112856,-182.07818333333333,-7366790.487557948,837556.1334851705,-64914.82320428929,4351.284803273882
-51380.19717815533,-1128.33363134962,352.769073,-253.26443492782636,-7418170.684736103,836427.7998538209,-67225.89807415752,4318.539250743122
-83399.77477813853,-1790.195553660975,379.9816489,-132.6257987012987,-7501570.459514242,834637.60430016,-73640.70078173885,3758.351299519346
-20564.82049992,6742.074577992162,273.3656794,2.6615000005000065,-7522135.280014162,841379.6788781522,-65613.35546430456,4224.761199929128
-24552.110899925,1741.959786240448,352.4393834,-72.645889999,-7546687.390914087,843121.6386643926,-64285.8130881289,3600.0182266317383
-99182.14579984,10348.371089001525,363.1029565,-399.066449999,-7645869.536713927,853470.0097533942,-57728.22703326033,3136.0151546059747
15877.975,213.91977954807467,200.02125,19.9294,-7629991.561713927,853683.9295329422,-54692.298462464976,2726.9238089024066
-50520.159999999996,11195.337900933548,340.6284054,-142.07392000000002,-7680511.721713928,864879.2674338758,-52905.54659106183,3539.745709066158
-49864.4616998156,708.7899036122435,324.456715,-267.4806058284718,-7730376.183413743,865588.057337488,-50847.985262405804,3262.6687402854113
-11846.587997208077,7737.915648611806,436.7055465,-117.74067728464243,-7742222.771410951,873325.9729860999,-55316.597886765805,3700.3027382950872
-61949.505365021665,3362.924748886115,333.847712,-287.6500810537177,-7804172.276775973,876688.897734986,-52200.076532548774,3464.0865715147816
-43382.088998647,2596.912038884706,253.0473119,-82.161399995,-7847554.36577462,879285.8097738707,-51467.01697357458,3138.213511433883
-123996.89441,3679.906206209082,423.6604493,-365.081353,-7971551.2601846205,882965.7159800798,-52794.36581857175,3544.3148415777937
8486.959090909091,4990.553991720605,164.549507,-44.215363636363634,-7963064.3010937115,887956.2699718005,-45683.87677636397,3544.3241817806056
-49878.75838636364,4210.432535369756,210.8987232,-48.406384370065695,-8012943.059480075,892166.7025071703,-46153.7551372947,3900.7549301428194
16292.25000025332,4240.965148521792,317.8745061,68.81710083506607,-7996650.8094798215,896407.6676556921,-41320.00891026551,4284.276271562207
-24997.62187372409,3333.056884972656,317.8734167,-32.52799999701977,-8021648.431353546,899740.7245406647,-37148.42655995019,4650.222874321751
-31549.765571428572,4177.484998383677,322.0355339,-245.43025285714285,-8053198.196924974,903918.2095390484,-37933.06549362937,4467.037904349717
20251.003164096364,-1388.3517312621339,383.7489364,-105.4754441933042,-8032947.1937608775,902529.8578077862,-34732.84306048499,4243.444224528104
22191.777167244643,12510.877932634385,372.9910932,-29.449144109527357,-8010755.416593633,915040.7357404206,-26063.277134264663,4397.908999073307
-16237.170649678475,-751.7123420042259,225.690982,-42.23840074293459,-8026992.587243311,914289.0233984165,-28357.21610924169,4328.935276105287
-20623.3055,7207.249327924065,313.2733068,-157.40361,-8047615.892743311,921496.2727263406,-26221.726502098838,4044.0718066046093
8391.743197881637,7990.345346614507,270.56167,32.913954694784096,-8039224.149545429,929486.618072955,-22060.569009406172,4564.182909676199
-22796.12,3470.7123381534507,58.483998299999996,-126.634,-8062020.269545429,932957.3304111086,-22842.678438177023,4259.382673214889
-32043.9235,1648.6548080817668,188.5245273,-41.62688,-8094064.193045429,934605.9852191904,-20706.56544781834,4136.934820300292
-75766.205,5388.017832487594,288.5028055,-333.1395,-8169830.398045429,939994.003051678,-23019.716590772125,4336.2995198433555
-24834.424999041483,3520.3189790748947,237.2000848,-95.2149999973923,-8194664.8230444705,943514.3220307529,-15936.683061417943,4324.900432190914
-12725.046923076923,880.959597736184,171.1563175,-101.77608461538462,-8207389.869967547,944395.281628489,-17451.826348131228,4031.357975477741
-51862.8555,14672.748053516332,295.706957,-185.84572,-8259252.725467547,959068.0296820054,-17593.547570533825,4778.666226773925
-60669.27593398398,1072.5233596123599,256.8781798,-158.65333290301785,-8319922.001401531,960140.5530416177,-23090.799422979348,4552.348956137537
-47550.95401,-2339.05209217452,219.7504809,-90.0775,-8367472.955411531,957801.5009494432,-24701.75171842763,4147.198314912738
-23234.690066086958,1274.5479919961185,324.5872071,-9.46131891304348,-8390707.645477617,959076.0489414394,-24107.81775376037,3939.845671599341
113415.87,29625.29770789917,230.3319891,173.0583,-8277291.775477617,988701.3466493385,-17453.184408338682,6155.106345825149
-6842.555,934.7968859205574,124.690716,-27.025,-8284134.330477617,989636.1435352591,-19527.065277427584,5328.243413917019
-72855.29579919347,6395.198047184784,192.5449466,-136.2197499924563,-8356989.626276811,996031.3415824438,-23571.217073821514,5838.737013144804
-49990.482249403954,2957.402135085825,246.5908185,-227.63489999701977,-8406980.108526215,998988.7437175296,-25668.872555921793,5535.176499370645
-46112.253591666726,11154.148287886459,261.3341258,-30.823822972571023,-8453092.362117881,1010142.892005416,-29562.01518374668,5761.162423747212
-86062.75899840558,5871.353825084429,283.1884104,-258.1250699821186,-8539155.121116286,1016014.2458305004,-34081.060826489935,5932.636815670854
-49292.94551115502,-7957.878970068465,283.0475675,-160.93747045156522,-8588448.066627441,1008056.366860432,-35313.13382728672,5246.455831517267
83491.9275,-10533.13346501916,483.9776547,-124.0045,-8504956.13912744,997523.2333954128,-23937.55293442958,4109.230738838211
-4397.679118696027,-7086.539637778753,388.9210056,-57.288461967989974,-8509353.818246137,990436.693757634,-22477.785371547758,3351.597980491523
-37184.925490738504,7253.933269374374,157.131361,-163.80049773180497,-8546538.743736876,997690.6270270084,-24224.919554952157,3806.8103856085363
9983.270999999999,6887.186794146737,255.274217,-100.25269999999999,-8536555.472736876,1004577.8138211552,-19807.339090666443,3250.6988670821365
-25990.401776833503,7685.105151491444,478.9626847,-151.16167499552964,-8562545.87451371,1012262.9189726467,-17330.276650869982,3723.0261379306426
-92884.93999993295,-3006.4036420776183,178.9093542,-131.01832142782638,-8655430.814513642,1009256.5153305691,-20568.418507293765,3675.358170080421
-66898.95512767027,-4269.073421395072,336.0878308,-86.93366184539406,-8722329.769641312,1004987.4419091741,-23687.294583121144,3279.385211981051
-297108.37599713,-1747.0511843632162,525.1698086,-636.9049999921,-9019438.145638442,1003240.3907248109,-53010.455011487575,1038.5031482480233
-19019.0649983075,3943.222955281092,127.8391489,-42.11857142457143,-9038457.21063675,1007183.613680092,-53880.2057256524,1253.3907246309186
-27021.18175,6815.3011568592365,233.1976226,-106.8622,-9065478.39238675,1013998.9148369513,-50606.340436424296,1283.398089607665
-20279.927826000003,-2108.488059915622,398.2276214,-45.0069,-9085758.32021275,1011890.4267770357,-48484.15797760971,921.5487899647045
-41382.268000000004,-9274.72160608548,259.72413,-62.275,-9127140.588212749,1002615.7051709503,-48146.30186391924,-537.6562024618626
-19887.01662951,3233.6580823748395,350.7084557,-216.156409997,-9147027.604842259,1005849.3632533251,-43419.46312328384,-726.0630412268332
-88631.11584515366,2559.3491342323273,443.7386585,-265.6448582999017,-9235658.720687412,1008408.7123875575,-46229.33243285517,25.16753765179471
-162197.46144522412,20132.219372051433,380.1013345,-467.98455029029634,-9397856.182132635,1028540.9317596089,-63778.57450037118,2215.549883156837
-44423.293926,-3488.4764437478525,107.920488,-58.70052705882353,-9442279.476058636,1025052.455315861,-66637.54698660718,2472.5543970161875
-21313.120450000002,2355.9993691132768,180.1695352,-67.384451,-9463592.596508635,1027408.4546849743,-65503.846626554434,2122.701975568966
-18156.181750441516,-1649.1188633574511,246.0508081,-64.05566917682738,-9481748.778259076,1025759.3358216168,-67513.80753730025,1512.9658571758096
-8392.61284,7507.019783163669,308.531306,-29.488300000000002,-9490141.391099077,1033266.3556047805,-66256.82261324071,1500.2454737238256
-6079.292434949999,-3436.3428272323936,202.8950815,-60.4079999995,-9496220.683534026,1029830.012777548,-60056.41921574193,1469.5355319270561
-181511.454887359,2817.608369548732,368.9921609,-265.1886249955,-9677732.138421385,1032647.6211470967,-68243.02634143399,1975.7270884230418
179374.18760435,23392.309545478834,565.813536,-17.81634733033333,-9498357.950817036,1056039.9306925756,-34208.55751275684,3771.395711983188
-70146.365554,6579.812038142453,219.2936287,-89.3386,-9568504.316371035,1062619.742730718,-37860.50755244917,3959.7235036161433
-10191.68,-410.71972198872,5.1251232,-10.421700000000001,-9578695.996371035,1062209.0230087293,-36658.40028459202,3443.5791551270027
